266 contests
rank	name	rating	participations
560	yumeno-ukihashi	2421.289191581309	5
561	marmot0814	2421.271432226889	11
562	kweezy	2421.0653155589503	29
563	czhangaegean	2420.83505246318	72
564	yongwhan	2420.8286009473263	38
565	s_tsat	2420.685390897569	32
566	magica	2420.028074158955	17
567	Blind_Lockhart	2419.712641198847	15
568	YoungForest	2419.589656483782	105
569	Socyrus	2419.4755706575447	12
570	minhtien_142	2419.093631573609	45
571	cowtony	2418.509685458705	33
572	YupengGu	2418.191076163527	27
573	Gaaakki	2417.151930136811	52
574	zhujiale2	2415.605089958357	21
575	Xingdong_Cao	2415.367929231454	45
576	yu1419	2414.9149140550753	21
577	ac130h	2414.4098203677563	62
578	sammyRe	2414.1780289488993	24
579	Megumi-cs	2413.9977683909315	18
580	xqxqxq	2413.8357287764684	33
581	magila	2413.648118828315	11
582	tom-chan	2413.5162524991024	55
583	SSigurd	2412.6780953131074	22
584	dqdt	2412.333086078912	47
585	ydchentw	2412.015788815197	25
586	huanglanzhiguan	2412.0130146690303	84
587	yuan-zhi-b	2411.502210592266	27
588	karutz	2411.2599439522132	28
589	venico19	2410.9518600484294	107
590	abhigyankole	2410.6797530610215	39
591	TryoneTry	2410.6189272437814	13
592	xin49	2410.4190284394813	16
593	maxd-3	2410.1931426550345	9
594	yanrucheng	2409.765412540592	29
595	0dfda4ac4b7d4	2409.606051969723	30
596	big-time	2409.501349362327	39
597	Sirius	2408.9176379015607	43
598	minghuiw	2408.7381745363773	27
599	ruanys	2408.7356170494954	44
600	mcy4ever	2408.6489505216796	23
601	jl0x61	2408.087199764971	19
602	honghongdepengpeng	2407.264367713537	23
603	Tatami	2407.2023859492824	48
604	leoknuth	2406.9937228720482	104
605	qwertier	2406.865831022837	12
606	prakhar15	2406.1129492191417	47
607	yupenggu	2405.9555041014546	11
608	wengames	2405.865937973334	118
609	nocilantro	2405.1792127008644	37
610	Sakuzyo	2404.9100264669537	13
611	PiggyHead	2404.860797682134	28
612	watashi	2403.955359115369	6
613	dacdodinh99	2403.501384956822	22
614	leetcodedocteel	2403.269295643118	64
615	krammer0	2403.164516555924	67
616	Yuzu_sofa	2402.7591288274634	49
617	hack_u	2402.359560580913	97
618	onakasuitacity	2402.0277741918676	30
619	zhongzh13	2401.8868396840357	36
620	cool199966	2401.816052251628	5
621	lichunzhu	2401.7800964198204	67
622	pk301	2401.5305245077134	15
623	Marmaduke	2401.2128476128714	62
624	hancuizeaux	2401.1251604778677	46
625	zanj0	2400.8075870437706	63
626	PizzaLovers007	2400.7552730409843	27
627	blacksea3	2400.6930624016127	42
628	groawr	2400.6159694521284	26
629	xitongsys	2400.4767622671056	21
630	joy32812	2400.2146592486483	65
631	yiwiy	2399.4300866301114	18
632	wangzi6147	2398.587686928985	40
633	yuanzhi247012	2398.092849562112	77
634	linsinn	2397.638202747363	55
635	yuhwu	2397.61193996511	17
636	supersri04	2397.303273855911	18
637	djqq89djq	2396.9769279267875	79
638	xuchengwen	2395.998130826744	96
639	Yoshikage1202358	2395.9862628045753	9
640	gongtiansu	2395.556634740421	7
641	njzwj2007	2395.4976947673294	17
642	basasuya	2395.4599282206673	44
643	Spinaria_	2395.0924595092283	8
644	youx	2394.923622770852	35
645	pminkov	2394.812143610616	30
646	shshwdr	2394.448286645883	56
647	DenisGubar	2393.807750967465	193
648	guoyihua	2393.166171690434	93
649	chaoqin-li	2392.9552458354037	47
650	xu932	2391.9550796980884	48
651	5305519068	2391.80563309512	68
652	liusandao	2391.407427897464	79
653	kphmd	2391.1452044069883	93
654	wangYiTiaoYu	2390.6135655021776	34
655	tuogy	2390.459327625088	7
656	mtewathia99	2390.2519165351164	23
